product_id,composition,detail,fabric,fit,print,style
05fb9f37-0a26-4f67-a686-55198b0bb7ed,cotton,0,cotton_tshirt,straight,horizontal_stripes,casual
06015eb3-c77b-4478-af5c-c95198269ccb,viscose,0,popeline,straight,polka_dot,boho
060864de-e640-492d-a01b-50abe09670ee,polyester,lateral_pocket,crepe,straight,floral,boho
060e50ab-8130-497c-ae32-93f0602124d7,viscose,ties,popeline,straight,floral,boho
065370c6-20e8-4066-a7e9-523638582316,polyester,belt_loop,jersey,straight,smooth,classic
06567ff4-6cc3-4527-978c-9ff7d98a5fd1,cotton,lateral_pocket,batiste,straight,retro,boho
06a8d1bc-04b6-4087-896b-a2591da0ad12,polyester,fake_pocket,cotton_batting,tight,vertical_stripes,classic
06a8e26d-582c-4cb0-b47a-11954f665840,polyester,jarets,crepe,straight,smooth,classic
06b1ab24-43a5-48ba-b4c8-50cdc913fafb,cotton,fringes,batiste,0,polka_dot,boho
06b1c4a5-c329-4e1c-8831-81e13fe8b9e7,viscose,fake_pocket,cotton_batting,straight,geometric,classic
06b8e215-5644-4218-9fdb-09162aa1b9e2,polyester,0,popeline,loose,floral,boho
06de9431-d05c-4e9f-85c4-553e391f1de0,cotton,five_pockets,twill,tight,smooth,street
06e254f2-9412-4002-b486-e585bf680c7a,viscose,button,mixed,straight,checked,classic
06febe5c-a2d8-43e5-8102-f322d7275a5c,cotton,plaston_pocket,natural,loose,checked,boho
07139800-e2c7-4197-aa4f-a5e7952ef832,cotton,five_pockets,twill,tight,smooth,street
072fc61a-c8fb-48ef-9a1f-9a9caa1882a7,cotton,embroidery,cotton_batting,loose,floral,boho
076b6192-d198-43e3-9f62-f3474b9ca037,cotton,0,popeline,tight,smooth,classic
076cf197-a1b3-462e-bada-53bdbd97b8be,polyester,sporty_elastic_band,artificial,loose,floral,street
0781e39f-5b9d-4f53-b624-1f3289255025,polyester,lace_edging,satin,straight,animal_print,boho
078f03ad-fbb4-40c2-b29b-df806a657578,cotton,insertion,cotton_tshirt,straight,printed,casual
